epoch,lr,train_loss,train_acc,val_loss,val_acc
1,1.00000000e-03,3.905571,0.023333,3.797133,0.055000
2,1.00000000e-03,3.729476,0.049167,3.539269,0.080000
3,1.00000000e-03,3.535706,0.063333,3.299130,0.102500
4,1.00000000e-03,3.384152,0.087500,3.194528,0.127500
5,1.00000000e-03,3.258646,0.100833,3.006588,0.170000
6,1.00000000e-03,3.199257,0.100833,2.928737,0.172500
7,1.00000000e-03,3.091561,0.125000,2.917769,0.162500
8,1.00000000e-03,3.058989,0.133333,2.788047,0.220000
9,1.00000000e-03,2.925637,0.170833,2.674827,0.232500
10,1.00000000e-03,2.924410,0.170000,2.594900,0.272500
11,1.00000000e-03,2.842688,0.192500,2.567227,0.310000
12,1.00000000e-03,2.786785,0.182500,2.541319,0.287500
13,1.00000000e-03,2.721148,0.207500,2.399262,0.300000
14,1.00000000e-03,2.655821,0.223333,2.303969,0.352500
15,1.00000000e-03,2.627700,0.235000,2.348241,0.335000
16,1.00000000e-03,2.572232,0.230000,2.276912,0.372500
17,1.00000000e-03,2.496880,0.245833,2.172739,0.385000
18,1.00000000e-03,2.455774,0.299167,2.205475,0.372500
19,1.00000000e-03,2.428959,0.283333,2.143665,0.377500
20,1.00000000e-03,2.404164,0.285833,2.195105,0.367500
21,1.00000000e-03,2.375324,0.311667,2.116602,0.367500
22,1.00000000e-03,2.310959,0.310833,2.079457,0.385000
23,1.00000000e-03,2.327908,0.328333,2.108832,0.382500
24,1.00000000e-03,2.341521,0.306667,2.075982,0.370000
25,1.00000000e-03,2.264402,0.297500,1.988514,0.420000
26,1.00000000e-03,2.228981,0.320000,1.967413,0.427500
27,1.00000000e-03,2.226652,0.335833,1.996437,0.397500
28,1.00000000e-03,2.195372,0.346667,1.917356,0.437500
29,1.00000000e-03,2.198835,0.326667,1.968884,0.382500
30,1.00000000e-03,2.142836,0.366667,1.780584,0.487500
